Year,Month,Anomaly,Year_num
1863,4,-0.352,1863.25
1863,5,-0.359,1863.3333333333333
1863,6,-0.426,1863.4166666666667
1863,7,-0.268,1863.5
1863,8,-0.354,1863.5833333333333
1863,9,-0.317,1863.6666666666667
1863,10,-0.46,1863.75
1863,11,-0.475,1863.8333333333333
1863,12,-0.426,1863.9166666666667
1864,1,-0.894,1864
1864,2,-0.652,1864.0833333333333
1864,3,-0.524,1864.1666666666667
1864,4,-0.585,1864.25
1864,5,-0.297,1864.3333333333333
1864,6,-0.157,1864.4166666666667
1864,7,-0.234,1864.5
1864,8,-0.337,1864.5833333333333
1864,9,-0.469,1864.6666666666667
1864,10,-0.61,1864.75
1864,11,-0.356,1864.8333333333333
1864,12,-0.633,1864.9166666666667
1865,1,-0.235,1865
1865,2,-0.48,1865.0833333333333
1865,3,-0.727,1865.1666666666667
1865,4,-0.47,1865.25
1865,5,-0.354,1865.3333333333333
1865,6,-0.216,1865.4166666666667
1865,7,-0.258,1865.5
1865,8,-0.227,1865.5833333333333
1865,9,-0.173,1865.6666666666667
1865,10,-0.252,1865.75
1865,11,-0.362,1865.8333333333333
1865,12,-0.423,1865.9166666666667
1866,1,-0.228,1866
1866,2,-0.34,1866.0833333333333
1866,3,-0.573,1866.1666666666667
1866,4,-0.544,1866.25
1866,5,-0.528,1866.3333333333333
1866,6,-0.054,1866.4166666666667
1866,7,0.002,1866.5
1866,8,-0.225,1866.5833333333333
1866,9,-0.39,1866.6666666666667
1866,10,-0.398,1866.75
1866,11,-0.247,1866.8333333333333
1866,12,-0.235,1866.9166666666667
1867,1,-0.316,1867
1867,2,-0.418,1867.0833333333333
1867,3,-0.701,1867.1666666666667
1867,4,-0.448,1867.25
1867,5,-0.604,1867.3333333333333
1867,6,-0.396,1867.4166666666667
1867,7,-0.304,1867.5
1867,8,-0.391,1867.5833333333333
1867,9,-0.155,1867.6666666666667
1867,10,-0.168,1867.75
1867,11,-0.102,1867.8333333333333
1867,12,-0.368,1867.9166666666667
1868,1,-0.707,1868
1868,2,-0.731,1868.0833333333333
1868,3,-0.384,1868.1666666666667
1868,4,-0.316,1868.25
1868,5,-0.194,1868.3333333333333
1868,6,-0.167,1868.4166666666667
1868,7,0.073,1868.5
1868,8,-0.08,1868.5833333333333
1868,9,-0.228,1868.6666666666667
1868,10,-0.141,1868.75
1868,11,-0.334,1868.8333333333333
1868,12,-0.159,1868.9166666666667
1869,1,-0.342,1869
1869,2,0.053,1869.0833333333333
1869,3,-0.659,1869.1666666666667
1869,4,-0.368,1869.25
1869,5,-0.32,1869.3333333333333
1869,6,-0.321,1869.4166666666667
1869,7,-0.37,1869.5
1869,8,-0.133,1869.5833333333333
1869,9,-0.202,1869.6666666666667
1869,10,-0.25,1869.75
1869,11,-0.236,1869.8333333333333
1869,12,-0.507,1869.9166666666667
1870,1,-0.264,1870
1870,2,-0.542,1870.0833333333333
1870,3,-0.466,1870.1666666666667
1870,4,-0.34,1870.25
1870,5,-0.327,1870.3333333333333
1870,6,-0.2,1870.4166666666667
1870,7,-0.038,1870.5
1870,8,-0.304,1870.5833333333333
1870,9,-0.219,1870.6666666666667
1870,10,-0.364,1870.75
1870,11,-0.336,1870.8333333333333
1870,12,-0.686,1870.9166666666667
1871,1,-0.585,1871
1871,2,-0.589,1871.0833333333333
1871,3,-0.262,1871.1666666666667
1871,4,-0.216,1871.25
1871,5,-0.395,1871.3333333333333
1871,6,-0.228,1871.4166666666667
1871,7,-0.062,1871.5
1871,8,-0.212,1871.5833333333333
1871,9,-0.366,1871.6666666666667
1871,10,-0.43,1871.75
