Year,Temperature,Uncertainty
2000,0.74,NA
2001,0.78,NA
2002,0.82,NA
2003,0.87,NA
2004,0.88,NA
2005,0.91,NA
2006,0.93,NA
2007,0.94,NA
2008,0.93,NA
2009,0.95,NA
2010,0.99,NA
2011,0.99,NA
2012,0.98,NA
2013,0.99,NA
2014,1.01,NA
2015,1.05,NA
2016,1.11,NA
2017,1.13,NA
2018,1.17,NA
2019,1.2,NA
2020,1.22,NA
2021,1.23,NA
2022,1.25,NA
